Record Length,2.50E+03,,-0.125,-0.04
Sample Interval,1.00E-04,,-0.1249,-0.04
Trigger Point,1.25E+03,,-0.1248,0
,,,-0.1247,-0.04
,,,-0.1246,-0.04
,,,-0.1245,-0.08
Source,CH1,,-0.1244,-0.12
Vertical Units,V,,-0.1243,-0.08
Vertical Scale,1.00E+00,,-0.1242,-0.08
Vertical Offset,0.00E+00,,-0.1241,-0.12
Horizontal Units,s,,-0.124,-0.12
Horizontal Scale,2.50E-02,,-0.1239,-0.12
Pt Fmt,Y,,-0.1238,-0.16
Yzero,0.00E+00,,-0.1237,-0.2
Probe Atten,1.00E+00,,-0.1236,-0.16
Model Number,TBS1062,,-0.1235,-0.16
Serial Number,C012880,,-0.1234,-0.16
Firmware Version,FV:v26.01,,-0.1233,-0.08
,,,-0.1232,-0.04
,,,-0.1231,-0.04
,,,-0.123,0.04
,,,-0.1229,0
,,,-0.1228,0
,,,-0.1227,0
,,,-0.1226,0
,,,-0.1225,0
,,,-0.1224,0
,,,-0.1223,0
,,,-0.1222,0
,,,-0.1221,-0.04
,,,-0.122,-0.12
,,,-0.1219,-0.2
,,,-0.1218,-0.24
,,,-0.1217,-0.28
,,,-0.1216,-0.32
,,,-0.1215,-0.36
,,,-0.1214,-0.36
,,,-0.1213,-0.36
,,,-0.1212,-0.4
,,,-0.1211,-0.44
,,,-0.121,-0.44
,,,-0.1209,-0.4
,,,-0.1208,-0.28
,,,-0.1207,-0.08
,,,-0.1206,0.12
,,,-0.1205,0.28
,,,-0.1204,0.36
,,,-0.1203,0.4
,,,-0.1202,0.44
,,,-0.1201,0.48
,,,-0.12,0.56
,,,-0.1199,0.76
,,,-0.1198,0.92
,,,-0.1197,1.12
,,,-0.1196,1.28
,,,-0.1195,1.48
,,,-0.1194,1.6
,,,-0.1193,1.76
,,,-0.1192,1.88
,,,-0.1191,1.96
,,,-0.119,1.96
,,,-0.1189,1.88
,,,-0.1188,1.76
,,,-0.1187,1.68
,,,-0.1186,1.56
,,,-0.1185,1.48
,,,-0.1184,1.4
,,,-0.1183,1.32
,,,-0.1182,1.28
,,,-0.1181,1.32
,,,-0.118,1.4
